Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.35     0.00   133616     0.00     0.00  ns3::DefaultDeleter<ns3::AttributeValue>::Delete(ns3::AttributeValue*)
  0.00      1.35     0.00   133026     0.00     0.00  std::less<std::pair<int, std::pair<int, int> > >::operator()(std::pair<int, std::pair<int, int> > const&, std::pair<int, std::pair<int, int> > const&) const
  0.00      1.35     0.00   130906     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      1.35     0.00   130705     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      1.35     0.00   130705     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      1.35     0.00   125808     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<unsigned int const, unsigned long> >::_M_ptr() const
  0.00      1.35     0.00   125808     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<unsigned int const, unsigned long> >::_M_addr() const
  0.00      1.35     0.00   125808     0.00     0.00  std::_Select1st<std::pair<unsigned int const, unsigned long> >::operator()(std::pair<unsigned int const, unsigned long> const&) const
  0.00      1.35     0.00   125808     0.00     0.00  std::_Rb_tree_node<std::pair<unsigned int const, unsigned long> >::_M_valptr() const
  0.00      1.35     0.00   125808     0.00     0.00  std::_Rb_tree<unsigned int, std::pair<unsigned int const, unsigned long>, std::_Select1st<std::pair<unsigned int const, unsigned long> >, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, unsigned long> > >::_S_key(std::_Rb_tree_node<std::pair<unsigned int const, unsigned long> > const*)
  0.00      1.35     0.00   124515     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      1.35     0.00   123973     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      1.35     0.00   123972     0.00     0.00  ns3::Ptr<ns3::Node>::Ptr(ns3::Ptr<ns3::Node> const&)
  0.00      1.35     0.00   122897     0.00     0.00  ns3::Ptr<ns3::EventImpl>::~Ptr()
  0.00      1.35     0.00   122718     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      1.35     0.00   122714     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      1.35     0.00   120297     0.00     0.00  ns3::Ptr<ns3::Node> const& std::forward<ns3::Ptr<ns3::Node> const&>(std::remove_reference<ns3::Ptr<ns3::Node> const&>::type&)
  0.00      1.35     0.00   120273     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      1.35     0.00   120273     0.00     0.00  int* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      1.35     0.00   120273     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      1.35     0.00   120273     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.00      1.35     0.00   118743     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<ns3::Ptr<ns3::Node> const, int> >::_M_ptr() const
  0.00      1.35     0.00   118743     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<ns3::Ptr<ns3::Node> const, int> >::_M_addr() const
  0.00      1.35     0.00   118743     0.00     0.00  std::_Select1st<std::pair<ns3::Ptr<ns3::Node> const, int> >::operator()(std::pair<ns3::Ptr<ns3::Node> const, int> const&) const
  0.00      1.35     0.00   118743     0.00     0.00  std::_Rb_tree_node<std::pair<ns3::Ptr<ns3::Node> const, int> >::_M_valptr() const
  0.00      1.35     0.00   118743     0.00     0.00  std::_Rb_tree<ns3::Ptr<ns3::Node>, std::pair<ns3::Ptr<ns3::Node> const, int>, std::_Select1st<std::pair<ns3::Ptr<ns3::Node> const, int> >, std::less<ns3::Ptr<ns3::Node> >, std::allocator<std::pair<ns3::Ptr<ns3::Node> const, int> > >::_S_key(std::_Rb_tree_node<std::pair<ns3::Ptr<ns3::Node> const, int> > const*)
  0.00      1.35     0.00   113959     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      1.35     0.00   113959     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      1.35     0.00   112159     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      1.35     0.00   111643     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      1.35     0.00   111514     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_select_on_copy(std::allocator<int> const&)
